project,version,tracer,kind,zrange,region,weight,close pair correction,available,data type,directory
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_mesh2_spectrum_poles,0.8-1.1,GCcomb,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_mesh2_spectrum_poles,0.8-1.1,NGC,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_mesh2_spectrum_poles,0.8-1.1,SGC,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_mesh2_spectrum_poles,1.1-1.6,GCcomb,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_mesh2_spectrum_poles,1.1-1.6,NGC,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_mesh2_spectrum_poles,1.1-1.6,SGC,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_particle2_correlation_smu,0.8-1.1,GCcomb,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_particle2_correlation_smu,0.8-1.1,NGC,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_particle2_correlation_smu,0.8-1.1,SGC,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_particle2_correlation_smu,1.1-1.6,GCcomb,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_particle2_correlation_smu,1.1-1.6,NGC,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,ELG_LOPnotqso,recon_particle2_correlation_smu,1.1-1.6,SGC,default-FKP,None,42,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,LRG,recon_mesh2_spectrum_poles,0.4-0.6,GCcomb,default-FKP,None,114,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,LRG,recon_mesh2_spectrum_poles,0.4-0.6,NGC,default-FKP,None,120,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,LRG,recon_mesh2_spectrum_poles,0.4-0.6,SGC,default-FKP,None,116,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
bao/base,holi-v3-altmtl,LRG,recon_mesh2_spectrum_poles,0.6-0.8,GCcomb,default-FKP,None,114,mock,/global/cfs/cdirs/desi/science/cai/desi-clustering/dr2/summary_statistics/bao/base/holi-v3-altmtl
